dummy index,Johnson Controls Name,BACnet Name,BACnet Description,BACnet Unit,Ground Truth Point Type,Point Ref,Location,Equipment Type,Equipment Ref,Equipment Subsystems,Building,Comments,BACnet Type Str
863,EBU3B.RM-2111..ACTCLGSP,NAE 06 N2 1 VMA141 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2111,VAV,141,VAV -> Rm_2111,EBU3B,,Analog Input
879,EBU3B.RM-2112..ACTCLGSP,NAE 06 N2 1 VMA143 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2112,VAV,143,VAV -> Rm_2112,EBU3B,,Analog Input
895,EBU3B.RM-2116..ACTCLGSP,NAE 06 N2 1 VMA142 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2116,VAV,142,VAV -> Rm_2116,EBU3B,,Analog Input
911,EBU3B.RM-2118..ACTCLGSP,NAE 06 N2 1 VMA140 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2118,VAV,140,VAV -> Rm_2118,EBU3B,,Analog Input
927,EBU3B.RM-2119..ACTCLGSP,NAE 06 N2 1 VMA103 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2119,VAV,103,VAV -> Rm_2119,EBU3B,,Analog Input
944,EBU3B.RM-2121..ACTCLGSP,NAE 06 N2 1 VMA155 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2121,VAV,155,VAV -> Rm_2121,EBU3B,,Analog Input
960,EBU3B.RM-2122..ACTCLGSP,NAE 06 N2 1 VMA139 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2122,VAV,139,VAV -> Rm_2122,EBU3B,,Analog Input
976,EBU3B.RM-2126..ACTCLGSP,NAE 06 N2 1 VMA138 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2126,VAV,138,VAV -> Rm_2126,EBU3B,,Analog Input
992,EBU3.RM-2127..ACLG-SP,NAE 06 N2 1 VMA151 ACLG SP,actual cooling setpoint,64,Actual Cooling Setpoint,,Rm_2127,VAV,151,VAV -> Rm_2127,EBU3B,,Analog Input
1011,EBU3B.RM-2128..ACTCLGSP,NAE 06 N2 1 VMA137 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2128,VAV,137,VAV -> Rm_2128,EBU3B,,Analog Input
1027,EBU3B.RM-2130..ACTCLGSP,NAE 06 N2 1 VMA136 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2130,VAV,136,VAV -> Rm_2130,EBU3B,,Analog Input
1043,EBU3B.RM-2132..ACTCLGSP,NAE 06 N2 1 VMA135 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2132,VAV,135,VAV -> Rm_2132,EBU3B,,Analog Input
1059,EBU3B.RM-2134..ACTCLGSP,NAE 06 N2 1 VMA134 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2134,VAV,134,VAV -> Rm_2134,EBU3B,,Analog Input
1075,EBU3B.RM-2136..ACTCLGSP,NAE 06 N2 1 VMA133 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2136,VAV,133,VAV -> Rm_2136,EBU3B,,Analog Input
1091,EBU3B.RM-2138..ACTCLGSP,NAE 06 N2 1 VMA132 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2138,VAV,132,VAV -> Rm_2138,EBU3B,,Analog Input
1107,EBU3B.RM-2140..ACTCLGSP,NAE 06 N2 1 VMA102 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2140,VAV,102,VAV -> Rm_2140,EBU3B,,Analog Input
1124,EBU3B.RM-2142..ACTCLGSP,NAE 06 N2 1 VMA154 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2142,VAV,154,VAV -> Rm_2142,EBU3B,,Analog Input
1141,EBU3B.RM-2144..ACTCLGSP,NAE 06 N2 1 VMA153 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2144,VAV,153,VAV -> Rm_2144,EBU3B,,Analog Input
1158,EBU3B.RM-2146..ACTCLGSP,NAE 06 N2 1 VMA152 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2146,VAV,152,VAV -> Rm_2146,EBU3B,,Analog Input
1175,EBU3B.RM-2148..ACTCLGSP,NAE 06 N2 1 VMA150 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2148,VAV,150,VAV -> Rm_2148,EBU3B,,Analog Input
1192,EBU3B.RM-2150..ACTCLGSP,NAE 06 N2 1 VMA149 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2150,VAV,149,VAV -> Rm_2150,EBU3B,,Analog Input
1209,EBU3B.RM-2154..ACTCLGSP,NAE 06 N2 1 VMA148 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2154,VAV,148,VAV -> Rm_2154,EBU3B,,Analog Input
1226,EBU3B.RM-2200A..ACTCLGSP,NAE 06 N2 1 VMA104 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2200A,VAV,104,VAV -> Rm_2200A,EBU3B,,Analog Input
1242,EBU3B.RM-2203..ACTCLGSP,NAE 06 N2 1 VMA128 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2203,VAV,128,VAV -> Rm_2203,EBU3B,,Analog Input
1258,EBU3B.RM-2207..ACTCLGSP,NAE 06 N2 1 VMA106 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2207,VAV,106,VAV -> Rm_2207,EBU3B,,Analog Input
1270,EBU3B.RM-2208..ACTCLGSP,NAE 06 N2 1 VMA108 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2208,VAV,108,VAV -> Rm_2208,EBU3B,,Analog Input
1286,EBU3B.RM-2209..ACTCLGSP,NAE 06 N2 1 VMA107 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2209,VAV,107,VAV -> Rm_2209,EBU3B,,Analog Input
1298,EBU3B.RM-2214..ACTCLGSP,NAE 06 N2 1 VMA109 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2214,VAV,109,VAV -> Rm_2214,EBU3B,,Analog Input
